site,species,plot,total,LL,UR
748,Poa secunda,4,,,
748,Poa secunda,5,1,,
755,Poa secunda,1,,,
755,Poa secunda,2,,,
755,Poa secunda,3,,,
755,Poa secunda,4,1,,
755,Poa secunda,5,,,
756,Poa secunda,1,1,,
756,Poa secunda,2,,,
756,Poa secunda,3,,,
756,Poa secunda,4,,,
756,Poa secunda,5,,,
757,Poa secunda,1,,,
757,Poa secunda,2,,,
757,Poa secunda,3,1,,
757,Poa secunda,4,,,
757,Poa secunda,5,,,
756,Quercus douglasii,1,,,
756,Quercus douglasii,2,,,
756,Quercus douglasii,3,,,
756,Quercus douglasii,4,,,
756,Quercus douglasii,5,2,,
741,Ranunculus californicus,1,,,
741,Ranunculus californicus,2,,,
741,Ranunculus californicus,3,,,
741,Ranunculus californicus,4,,,
741,Ranunculus californicus,5,1,1,
745,Ranunculus californicus,1,,,
745,Ranunculus californicus,2,2,,5
745,Ranunculus californicus,3,1,,
745,Ranunculus californicus,4,,,
745,Ranunculus californicus,5,,,
740,Ranunculus californicus,1,,,
740,Ranunculus californicus,2,,,
740,Ranunculus californicus,3,,,
740,Ranunculus californicus,4,4,5,
740,Ranunculus californicus,5,,,
743,Rigiopappus leptocladus,1,,,
743,Rigiopappus leptocladus,2,,,
743,Rigiopappus leptocladus,3,,,
743,Rigiopappus leptocladus,4,1,1,
743,Rigiopappus leptocladus,5,1,,
744,Rigiopappus leptocladus,1,,,
744,Rigiopappus leptocladus,2,1,1,
744,Rigiopappus leptocladus,3,1,,
744,Rigiopappus leptocladus,4,,,
744,Rigiopappus leptocladus,5,,,
752,Rigiopappus leptocladus,1,,,
752,Rigiopappus leptocladus,2,,,
752,Rigiopappus leptocladus,3,,,
752,Rigiopappus leptocladus,4,,,
752,Rigiopappus leptocladus,5,1,1,
755,Rigiopappus leptocladus,1,,,
755,Rigiopappus leptocladus,2,,,
755,Rigiopappus leptocladus,3,1,,1
755,Rigiopappus leptocladus,4,,,
755,Rigiopappus leptocladus,5,,,
747,Salvia columbariae,1,,,
747,Salvia columbariae,2,,,
747,Salvia columbariae,3,1,,
747,Salvia columbariae,4,1,,
747,Salvia columbariae,5,1,,
750,Salvia columbariae,1,1,,
750,Salvia columbariae,2,,,
750,Salvia columbariae,3,,,
750,Salvia columbariae,4,,,
750,Salvia columbariae,5,,,
755,Salvia columbariae,1,,,
755,Salvia columbariae,2,,,
755,Salvia columbariae,3,8,5,2
755,Salvia columbariae,4,,,
755,Salvia columbariae,5,,,
758,Salvia spathacea,1,,,
758,Salvia spathacea,2,,,
758,Salvia spathacea,3,,,
758,Salvia spathacea,4,,,
758,Salvia spathacea,5,1,,2
759,Salvia spathacea,1,,,
759,Salvia spathacea,2,,,
759,Salvia spathacea,3,4,,
759,Salvia spathacea,4,4,5,
759,Salvia spathacea,5,,,
756,Sanicula sp.,1,1,1,1
756,Sanicula sp.,2,,,
756,Sanicula sp.,3,,,
756,Sanicula sp.,4,,,
756,Sanicula sp.,5,,,
758,Sanicula sp.,1,,,
758,Sanicula sp.,2,,,
758,Sanicula sp.,3,4,,
758,Sanicula sp.,4,,,
758,Sanicula sp.,5,,,
751,Eriogonum fasciculatum,1,,,
751,Eriogonum fasciculatum,2,4,,
751,Eriogonum fasciculatum,3,,,
751,Eriogonum fasciculatum,4,,,
751,Eriogonum fasciculatum,5,,,
756,Thysanocarpus curvipes,1,,,
756,Thysanocarpus curvipes,2,,,
756,Thysanocarpus curvipes,3,1,,
756,Thysanocarpus curvipes,4,,,
756,Thysanocarpus curvipes,5,,,
758,Torilis arvensis,1,8,5,2
758,Torilis arvensis,2,8,10,1
758,Torilis arvensis,3,4,1,
758,Torilis arvensis,4,8,5,5
758,Torilis arvensis,5,8,10,10
759,Torilis arvensis,1,1,,
759,Torilis arvensis,2,8,5,10
759,Torilis arvensis,3,4,2,
759,Torilis arvensis,4,1,1,1
759,Torilis arvensis,5,12,2,2
741,Trifolium albopurpureum,1,,,
741,Trifolium albopurpureum,2,1,,
741,Trifolium albopurpureum,3,,,
741,Trifolium albopurpureum,4,,,
741,Trifolium albopurpureum,5,1,,
742,Trifolium albopurpureum,1,1,,
742,Trifolium albopurpureum,2,1,,
742,Trifolium albopurpureum,3,1,,
742,Trifolium albopurpureum,4,,,
742,Trifolium albopurpureum,5,,,
744,Trifolium albopurpureum,1,1,,
744,Trifolium albopurpureum,2,1,,
744,Trifolium albopurpureum,3,1,1,1
744,Trifolium albopurpureum,4,1,5,
744,Trifolium albopurpureum,5,,,
747,Trifolium albopurpureum,1,,,
747,Trifolium albopurpureum,2,1,,1
747,Trifolium albopurpureum,3,,,
747,Trifolium albopurpureum,4,,,
747,Trifolium albopurpureum,5,1,,
751,Trifolium albopurpureum,1,,,
751,Trifolium albopurpureum,2,,,
751,Trifolium albopurpureum,3,,,
751,Trifolium albopurpureum,4,1,,
751,Trifolium albopurpureum,5,1,1,2
752,Trifolium albopurpureum,1,,,
752,Trifolium albopurpureum,2,,,
752,Trifolium albopurpureum,3,4,,
752,Trifolium albopurpureum,4,,,
752,Trifolium albopurpureum,5,,,
755,Trifolium albopurpureum,1,1,1,
755,Trifolium albopurpureum,2,,,
755,Trifolium albopurpureum,3,,,
755,Trifolium albopurpureum,4,2,1,
755,Trifolium albopurpureum,5,1,,1
763,Trifolium albopurpureum,1,,,
763,Trifolium albopurpureum,2,1,1,
763,Trifolium albopurpureum,3,1,,
763,Trifolium albopurpureum,4,1,,
763,Trifolium albopurpureum,5,,,
756,Trifolium albopurpureum,1,1,1,
756,Trifolium albopurpureum,2,1,,
756,Trifolium albopurpureum,3,1,,1
756,Trifolium albopurpureum,4,1,,
756,Trifolium albopurpureum,5,8,10,10
761,Unknown forb,1,,,
761,Unknown forb,2,,,
761,Unknown forb,3,1,,
761,Unknown forb,4,,,
761,Unknown forb,5,,,
741,Uropappus lindleyi,1,,,
741,Uropappus lindleyi,2,,,
741,Uropappus lindleyi,3,,,
741,Uropappus lindleyi,4,,,
741,Uropappus lindleyi,5,1,,1
742,Uropappus lindleyi,1,,,
742,Uropappus lindleyi,2,,,
742,Uropappus lindleyi,3,1,,1
742,Uropappus lindleyi,4,,,
742,Uropappus lindleyi,5,,,
743,Uropappus lindleyi,1,,,
743,Uropappus lindleyi,2,1,,
743,Uropappus lindleyi,3,,,
743,Uropappus lindleyi,4,1,,
743,Uropappus lindleyi,5,,,
744,Uropappus lindleyi,1,,,
744,Uropappus lindleyi,2,1,,
744,Uropappus lindleyi,3,,,
744,Uropappus lindleyi,4,,,
744,Uropappus lindleyi,5,,,
746,Uropappus lindleyi,1,1,,
746,Uropappus lindleyi,2,,,
746,Uropappus lindleyi,3,1,1,1
746,Uropappus lindleyi,4,1,,1
746,Uropappus lindleyi,5,1,,1
747,Uropappus lindleyi,1,,,
747,Uropappus lindleyi,2,,,
747,Uropappus lindleyi,3,,,
747,Uropappus lindleyi,4,8,4,
747,Uropappus lindleyi,5,,,
750,Uropappus lindleyi,1,1,1,
750,Uropappus lindleyi,2,1,,
750,Uropappus lindleyi,3,2,,
750,Uropappus lindleyi,4,,,
750,Uropappus lindleyi,5,,,
751,Uropappus lindleyi,1,1,,
751,Uropappus lindleyi,2,1,,
751,Uropappus lindleyi,3,8,20,1
751,Uropappus lindleyi,4,,,
751,Uropappus lindleyi,5,,,
752,Uropappus lindleyi,1,4,2,1
752,Uropappus lindleyi,2,,,
752,Uropappus lindleyi,3,1,1,1
752,Uropappus lindleyi,4,1,,
752,Uropappus lindleyi,5,2,,5
755,Uropappus lindleyi,1,1,,
755,Uropappus lindleyi,2,1,,1
755,Uropappus lindleyi,3,,,
755,Uropappus lindleyi,4,,,
755,Uropappus lindleyi,5,,,
763,Uropappus lindleyi,1,,,
763,Uropappus lindleyi,2,,,
763,Uropappus lindleyi,3,,,
763,Uropappus lindleyi,4,1,1,
763,Uropappus lindleyi,5,,,
760,Uropappus lindleyi,1,,,
760,Uropappus lindleyi,2,,,
760,Uropappus lindleyi,3,,,
760,Uropappus lindleyi,4,,,
760,Uropappus lindleyi,5,1,,
756,Viola pedunculata,1,,,
756,Viola pedunculata,2,,,
756,Viola pedunculata,3,2,,
756,Viola pedunculata,4,4,,
756,Viola pedunculata,5,4,1,
759,Viola pedunculata,1,1,,
759,Viola pedunculata,2,8,5,
759,Viola pedunculata,3,4,5,
759,Viola pedunculata,4,12,15,20
759,Viola pedunculata,5,16,,40
741,Vulpia microstachys,1,1,,
741,Vulpia microstachys,2,4,1,1
741,Vulpia microstachys,3,,,
741,Vulpia microstachys,4,,,
741,Vulpia microstachys,5,,,
742,Vulpia microstachys,1,8,1,1
742,Vulpia microstachys,2,1,1,2
742,Vulpia microstachys,3,12,,20
742,Vulpia microstachys,4,,,
742,Vulpia microstachys,5,,,
743,Vulpia microstachys,1,,,
743,Vulpia microstachys,1,,,
743,Vulpia microstachys,2,1,1,
743,Vulpia microstachys,2,,,
743,Vulpia microstachys,3,1,4,3
743,Vulpia microstachys,3,,,
743,Vulpia microstachys,4,,,
743,Vulpia microstachys,4,4,2,10
743,Vulpia microstachys,5,16,10,5
743,Vulpia microstachys,5,,,
745,Vulpia microstachys,1,8,20,20
745,Vulpia microstachys,2,4,,2
745,Vulpia microstachys,3,2,2,
745,Vulpia microstachys,4,4,1,
745,Vulpia microstachys,5,1,,1
744,Vulpia microstachys,1,2,10,
744,Vulpia microstachys,2,4,,1
744,Vulpia microstachys,3,4,1,2
744,Vulpia microstachys,4,4,5,4
744,Vulpia microstachys,5,25,10,30
746,Vulpia microstachys,1,,,
746,Vulpia microstachys,2,,,
746,Vulpia microstachys,3,1,1,
746,Vulpia microstachys,4,,,
746,Vulpia microstachys,5,1,,1
747,Vulpia microstachys,1,4,5,2
747,Vulpia microstachys,2,1,2,1
747,Vulpia microstachys,3,1,1,
747,Vulpia microstachys,4,1,,
747,Vulpia microstachys,5,1,1,
748,Vulpia microstachys,1,,,
748,Vulpia microstachys,2,1,,
748,Vulpia microstachys,3,,,
748,Vulpia microstachys,4,,,
748,Vulpia microstachys,5,,,
740,Vulpia microstachys,1,,,
740,Vulpia microstachys,2,4,,5
740,Vulpia microstachys,3,,,
740,Vulpia microstachys,4,,,
740,Vulpia microstachys,5,,,
750,Vulpia microstachys,1,1,,
750,Vulpia microstachys,2,1,,
750,Vulpia microstachys,3,,,
750,Vulpia microstachys,4,1,,
750,Vulpia microstachys,5,1,,
751,Vulpia microstachys,1,1,,1
751,Vulpia microstachys,2,1,,
751,Vulpia microstachys,3,1,,1
751,Vulpia microstachys,4,15,20,1
751,Vulpia microstachys,5,16,20,5
753,Vulpia microstachys,1,,,
753,Vulpia microstachys,2,,,
753,Vulpia microstachys,3,1,1,
753,Vulpia microstachys,4,,,
753,Vulpia microstachys,5,,,
752,Vulpia microstachys,1,,,
752,Vulpia microstachys,2,,,
752,Vulpia microstachys,3,1,,
752,Vulpia microstachys,4,1,,1
752,Vulpia microstachys,5,1,5,
755,Vulpia microstachys,1,4,,5
755,Vulpia microstachys,2,8,5,1
755,Vulpia microstachys,3,1,,
755,Vulpia microstachys,4,4,1,1
755,Vulpia microstachys,5,4,1,10
756,Vulpia microstachys,1,,,
756,Vulpia microstachys,2,,,
756,Vulpia microstachys,3,1,,2
756,Vulpia microstachys,4,,,
756,Vulpia microstachys,5,,,
742,Vulpia myuros,1,,,
742,Vulpia myuros,2,,,
742,Vulpia myuros,3,,,
742,Vulpia myuros,4,1,1,5
742,Vulpia myuros,5,1,,
763,Vulpia myuros,1,,,
763,Vulpia myuros,2,,,
763,Vulpia myuros,3,4,5,2
763,Vulpia myuros,4,4,1,
763,Vulpia myuros,5,,,
760,Vulpia myuros,1,8,5,1
760,Vulpia myuros,2,8,1,2
760,Vulpia myuros,3,8,5,5
760,Vulpia myuros,4,1,1,1
760,Vulpia myuros,5,8,5,5
761,Vulpia myuros,1,4,,5
761,Vulpia myuros,2,1,,
761,Vulpia myuros,3,4,1,
761,Vulpia myuros,4,4,1,1
761,Vulpia myuros,5,,,
756,Vulpia myuros,1,,,
756,Vulpia myuros,2,4,5,1
756,Vulpia myuros,3,1,1,1
756,Vulpia myuros,4,1,1,
756,Vulpia myuros,5,1,,1
757,Vulpia myuros,1,1,10,
757,Vulpia myuros,2,1,,
757,Vulpia myuros,3,,,
757,Vulpia myuros,4,1,5,15
757,Vulpia myuros,5,4,,
758,Yabea microcarpa,1,,,
758,Yabea microcarpa,2,,,
758,Yabea microcarpa,3,,,
758,Yabea microcarpa,4,2,1,1
758,Yabea microcarpa,5,,,
