"scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation","url_source","project_pi","project_pi_contact"
"Elymus glaucus","leaf nitrogen content per leaf dry mass","23.56094","mg.g-1","Combustion analysis: Duke Environmental Stable Isotope Laboratory, NC, USA",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Elymus glaucus","leaf nitrogen content per leaf dry mass","36.89933","mg.g-1","Combustion analysis: Duke Environmental Stable Isotope Laboratory, NC, USA",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Elymus glaucus","leaf nitrogen content per leaf dry mass","34.82418","mg.g-1","Combustion analysis: Duke Environmental Stable Isotope Laboratory, NC, USA",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Elymus glaucus","leaf nitrogen content per leaf dry mass","26.43298","mg.g-1","Combustion analysis: Duke Environmental Stable Isotope Laboratory, NC, USA",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Elymus glaucus","leaf nitrogen content per leaf dry mass","30.55781","mg.g-1","Combustion analysis: Duke Environmental Stable Isotope Laboratory, NC, USA",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Elymus glaucus","leaf nitrogen content per leaf dry mass","30.85918","mg.g-1","Combustion analysis: Duke Environmental Stable Isotope Laboratory, NC, USA",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Elymus glaucus","seed mass","3.753","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org "
"Elymus glaucus","seed mass","3.311","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org "
"Elymus glaucus","leaf photosynthetic rate per leaf area","179829.3","µmol.m-2.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Elymus glaucus","leaf photosynthetic rate per leaf dry mass","0.005388901","µmol.g-1.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Elymus glaucus","leaf photosynthetic rate per leaf dry mass","0.004647252","µmol.g-1.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Elymus glaucus","leaf photosynthetic rate per leaf dry mass","0.004014907","µmol.g-1.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Elymus glaucus","leaf photosynthetic rate per leaf dry mass","0.005031915","µmol.g-1.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Elymus glaucus","leaf photosynthetic rate per leaf dry mass","0.004674832","µmol.g-1.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Elymus glaucus","leaf photosynthetic rate per leaf dry mass","0.004134855","µmol.g-1.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Elymus glaucus","leaf photosynthetic rate per leaf dry mass","0.005427679","µmol.g-1.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Elymus glaucus","leaf photosynthetic rate per leaf dry mass","0.006662404","µmol.g-1.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Elymus glaucus","leaf photosynthetic rate per leaf dry mass","0.005052171","µmol.g-1.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Elymus glaucus","leaf photosynthetic rate per leaf dry mass","0.006236911","µmol.g-1.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Elymus glaucus","leaf photosynthetic rate per leaf dry mass","0.005997256","µmol.g-1.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Elymus glaucus","leaf photosynthetic rate per leaf dry mass","0.005399574","µmol.g-1.s-1","Photosynthetic capacity was quantified with an infrared gas analyzer, the CIRAS-2 Portable Photosynthesis System V2.01 (PP Systems, Amesbury, MA, USA). Measurements of photosynthetic capacity, tissue nitrogen and LMA were stratified across blocks (two individuals per treatment combination per block per day over 3 days)",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.356v3","Welsh ME","mwelsh@unc.edu"
"Elymus glaucus","whole plant woodiness","herbaceous",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com"
"Elymus glaucus","seed mass","4.244005","mg","These measurements are taken from of a larger dataset assembled by Cornwell. Cornwell, W.K., Westoby, M., Falster, D.S. et al. (2014) Functional distinctiveness of major plant lineages. Journal of Ecology, 102, 345356.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.m88g7","Marx HE","h.marx.h@gmail.com"
"Elymus glaucus","whole plant height","1.8","m","These measurements are taken from of a larger dataset assembled by Cornwell. Cornwell, W.K., Westoby, M., Falster, D.S. et al. (2014) Functional distinctiveness of major plant lineages. Journal of Ecology, 102, 345356.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.m88g7","Marx HE","h.marx.h@gmail.com"
"Elymus glaucus","seed mass","3.36","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org "
"Elymus glaucus","whole plant woodiness","herbaceous",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com"
"Elymus glaucus","leaf carbon content per leaf nitrogen content","13.4276923",NA,NA,NA,NA,"1200-2300","http://datadryad.org/resource/doi:10.5061/dryad.q2n8p","Stevens JT","jtstevens@ucdavis.edu"
"Elymus glaucus","seed mass","3.311","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu"
"Elymus glaucus","seed mass","3.753","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu"
"Elymus glaucus","whole plant growth form","Herb",NA,"Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.",NA,NA,NA,"http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract","Engemann, K","engemann@bios.au.dk"
"Elymus glaucus","whole plant growth form diversity","Herb",NA,"Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.",NA,NA,NA,"http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract","Engemann, K","engemann@bios.au.dk"
"Elymus glaucus","whole plant leaf area per whole plant leaf dry mass","0.282385877","m2·kg-1",NA,NA,NA,"1200-2300","http://datadryad.org/resource/doi:10.5061/dryad.q2n8p","Stevens JT","jtstevens@ucdavis.edu"
"Eriogonum fasciculatum","seed mass","1","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu"
"Eriogonum fasciculatum","whole plant growth form diversity","Herb_Shrub",NA,"Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.",NA,NA,NA,"http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract","Engemann, K","engemann@bios.au.dk"
"Eriogonum fasciculatum","leaf photosynthetic rate per leaf area","4.4","µmol.m-2.s-1",NA,"37.02","-113.83","1215","http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com"
"Eriogonum fasciculatum","whole plant vegetative phenology","evergreen",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com"
"Eriogonum fasciculatum","whole plant woodiness","woody",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com"
"Eriogonum fasciculatum","seed mass","0.759","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu"
"Eriogonum fasciculatum","seed mass","0.718","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu"
"Eriogonum fasciculatum","whole plant growth form","Shrub",NA,"Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.",NA,NA,NA,"http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract","Engemann, K","engemann@bios.au.dk"
"Eriogonum fasciculatum","leaf carbon content per leaf nitrogen content","8.846",NA,NA,"37.02","-113.83","1215","http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com"
"Eriogonum fasciculatum","seed mass","0.442","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu"
"Eriogonum fasciculatum","seed mass","1.226","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu"
"Erodium cicutarium","whole plant leaf dry mass","0.00678","g","actual measurement",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","whole plant leaf dry mass","0.00753","g","actual measurement",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","whole plant leaf dry mass","0.0151","g","actual measurement",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","whole plant leaf dry mass","0.00305","g","actual measurement",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","whole plant leaf dry mass","0.00678","g","actual measurement",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","leaf dry mass per leaf fresh mass","224","mg.g-1","laboratory/greenhouse/garden experiment; rehydration status unknown",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","leaf dry mass per leaf fresh mass","224","mg.g-1","laboratory/greenhouse/garden experiment; rehydration status unknown",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","leaf dry mass per leaf fresh mass","216","mg.g-1","laboratory/greenhouse/garden experiment; rehydration status unknown",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","leaf dry mass per leaf fresh mass","216","mg.g-1","laboratory/greenhouse/garden experiment; rehydration status unknown",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","leaf dry mass per leaf fresh mass","165","mg.g-1","laboratory/greenhouse/garden experiment; rehydration status unknown",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","leaf dry mass per leaf fresh mass","165","mg.g-1","laboratory/greenhouse/garden experiment; rehydration status unknown",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","leaf dry mass per leaf fresh mass","200.61","mg.g-1","laboratory/greenhouse/garden experiment; rehydration status unknown",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","leaf dry mass per leaf fresh mass","169.51","mg.g-1","laboratory/greenhouse/garden experiment; rehydration status unknown",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","leaf dry mass per leaf fresh mass","282.85","mg.g-1","laboratory/greenhouse/garden experiment; rehydration status unknown",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","leaf dry mass per leaf fresh mass","212.62","mg.g-1","laboratory/greenhouse/garden experiment; rehydration status unknown",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","leaf dry mass per leaf fresh mass","200.61","mg.g-1","laboratory/greenhouse/garden experiment; rehydration status unknown",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","whole plant leaf area per whole plant leaf dry mass","15.1","m2·kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","whole plant leaf area per whole plant leaf dry mass","15.1","m2·kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","whole plant leaf area per whole plant leaf dry mass","18.1","m2·kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","whole plant leaf area per whole plant leaf dry mass","18.1","m2·kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","whole plant leaf area per whole plant leaf dry mass","16.4","m2·kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","whole plant leaf area per whole plant leaf dry mass","15.1","m2·kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","whole plant leaf area per whole plant leaf dry mass","15.1","m2·kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","whole plant leaf area per whole plant leaf dry mass","25.2","m2·kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","whole plant leaf area per whole plant leaf dry mass","25.2","m2·kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","whole plant leaf area per whole plant leaf dry mass","21.3","m2·kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","whole plant leaf area per whole plant leaf dry mass","21.3","m2·kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","whole plant leaf area per whole plant leaf dry mass","16.4","m2·kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","whole plant leaf area per whole plant leaf dry mass","16.4","m2·kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","whole plant leaf area per whole plant leaf dry mass","46.79","m2·kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","whole plant leaf area per whole plant leaf dry mass","29.29","m2·kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","whole plant leaf area per whole plant leaf dry mass","21.78","m2·kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","whole plant leaf area per whole plant leaf dry mass","26.49","m2·kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","seed mass","1.46","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org "
"Erodium cicutarium","seed mass","1.25","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org "
"Erodium cicutarium","whole plant leaf area per whole plant leaf dry mass","54.94505495","m2·kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","whole plant leaf area per whole plant leaf dry mass","45.38","m2·kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","whole plant leaf area per whole plant leaf dry mass","29.09","m2·kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","whole plant leaf area per whole plant leaf dry mass","26.49","m2·kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","whole plant leaf area per whole plant leaf dry mass","54.94505495","m2·kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","whole plant leaf area per whole plant leaf dry mass","46.79","m2·kg-1","area/dry mass (Cornelissen et al. 2003)",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","whole plant leaf dry mass","0.0205","g","actual measurement",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","whole plant height","0.257143","m","These measurements are taken from of a larger dataset assembled by Cornwell. Cornwell, W.K., Westoby, M., Falster, D.S. et al. (2014) Functional distinctiveness of major plant lineages. Journal of Ecology, 102, 345356.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.m88g7","Marx HE","h.marx.h@gmail.com"
"Erodium cicutarium","seed mass","2.145","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org "
"Erodium cicutarium","whole plant leaf area per whole plant leaf dry mass","34.47453","m2·kg-1","These measurements are taken from of a larger dataset assembled by Cornwell. Cornwell, W.K., Westoby, M., Falster, D.S. et al. (2014) Functional distinctiveness of major plant lineages. Journal of Ecology, 102, 345356.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.m88g7","Marx HE","h.marx.h@gmail.com"
"Erodium cicutarium","seed mass","1.45","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org "
"Erodium cicutarium","seed mass","2.4","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org "
"Erodium cicutarium","whole plant woodiness","herbaceous",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com"
"Erodium cicutarium","seed mass","2.037322","mg","These measurements are taken from of a larger dataset assembled by Cornwell. Cornwell, W.K., Westoby, M., Falster, D.S. et al. (2014) Functional distinctiveness of major plant lineages. Journal of Ecology, 102, 345356.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.m88g7","Marx HE","h.marx.h@gmail.com"
"Erodium cicutarium","seed mass","2.145","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu"
"Erodium cicutarium","plant flowering begin","4","month","first-flowering time",NA,NA,NA,"http://www.ufz.de/biolflor/index.jsp","Ingolf Kuhn","ingolf.kuehn@ufz.de"
"Erodium cicutarium","whole plant height","0.6","m","actual measurement (following LEDA data standards) - maximum height",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","whole plant leaf area per whole plant leaf dry mass","54.94505495","m2·kg-1","compiled data in a global trait database (Glopnet)","56.61667","61.06667",NA,"http://www.nature.com/nature/journal/v428/n6985/suppinfo/nature02403.html","I. Wright & P. Reich","iwright@bio.mq.edu.au"
"Erodium cicutarium","whole plant growth form","Herb",NA,"Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.",NA,NA,NA,"http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract","Engemann, K","engemann@bios.au.dk"
"Erodium cicutarium","whole plant growth form diversity","Herb",NA,"Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.",NA,NA,NA,"http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract","Engemann, K","engemann@bios.au.dk"
"Erodium cicutarium","plant flowering begin","4","month","first-flowering time",NA,NA,NA,"http://www.ufz.de/biolflor/index.jsp","Ingolf Kuhn","ingolf.kuehn@ufz.de"
"Erodium cicutarium","whole plant height","0.6","m","actual measurement (following LEDA data standards) - maximum height",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","whole plant leaf dry mass","0.084910476","g","actual measurement",NA,NA,NA,"http://www.leda-traitbase.org/LEDAportal/","Michael Kleyer","michael.kleyer@uni-oldenburg.de"
"Erodium cicutarium","seed mass","4.6","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu"
